trt,label,temp,resource,tube,label,color
trt,for,20,0.1,93,for_20_0.1_93,color 1
trt,for,20,0.1,94,for_20_0.1_94,color 1
trt,for,20,0.1,95,for_20_0.1_95,color 1
trt,for,20,0.1,96,for_20_0.1_96,color 1
trt,for,20,0.1,97,for_20_0.1_97,color 1
trt,for,20,0.1,98,for_20_0.1_98,color 1
trt,for,20,0.1,99,for_20_0.1_99,color 1
trt,for,20,0.1,100,for_20_0.1_100,color 1
trt,for,20,0.1,101,for_20_0.1_101,color 1
trt,for,20,0.1,102,for_20_0.1_102,color 1
trt,for,20,0.1,103,for_20_0.1_103,color 1
trt,for,20,0.1,104,for_20_0.1_104,color 1
trt,for,20,0.1,105,for_20_0.1_105,color 1
trt,for,20,0.1,106,for_20_0.1_106,color 1
trt,for,20,0.1,107,for_20_0.1_107,color 1
trt,for,20,0.1,108,for_20_0.1_108,color 1
trt,for,20,0.1,109,for_20_0.1_109,color 1
trt,for,20,0.1,110,for_20_0.1_110,color 1
trt,for,20,0.1,111,for_20_0.1_111,color 1
trt,for,20,0.1,112,for_20_0.1_112,color 1
trt,for,20,0.1,113,for_20_0.1_113,color 1
trt,for,20,0.1,114,for_20_0.1_114,color 1
trt,for,20,0.1,115,for_20_0.1_115,color 1
trt,for,20,0.1,116,for_20_0.1_116,color 1
trt,for,20,0.1,117,for_20_0.1_117,color 1
trt,for,20,0.1,118,for_20_0.1_118,color 1
trt,for,20,0.1,119,for_20_0.1_119,color 1
trt,for,20,0.1,120,for_20_0.1_120,color 1
trt,for,20,0.5,121,for_20_0.5_121,color 2
trt,for,20,0.5,122,for_20_0.5_122,color 2
trt,for,20,0.5,123,for_20_0.5_123,color 2
trt,for,20,0.5,124,for_20_0.5_124,color 2
trt,for,20,0.5,125,for_20_0.5_125,color 2
trt,for,20,0.5,126,for_20_0.5_126,color 2
trt,for,20,0.5,127,for_20_0.5_127,color 2
trt,for,20,0.5,128,for_20_0.5_128,color 2
trt,for,20,0.5,129,for_20_0.5_129,color 2
trt,for,20,0.5,130,for_20_0.5_130,color 2
trt,for,20,0.5,131,for_20_0.5_131,color 2
trt,for,20,0.5,132,for_20_0.5_132,color 2
trt,for,20,0.5,133,for_20_0.5_133,color 2
trt,for,20,0.5,134,for_20_0.5_134,color 2
trt,for,20,0.5,135,for_20_0.5_135,color 2
trt,for,20,0.5,136,for_20_0.5_136,color 2
trt,for,20,0.5,137,for_20_0.5_137,color 2
trt,for,20,0.5,138,for_20_0.5_138,color 2
trt,for,20,0.5,139,for_20_0.5_139,color 2
trt,for,20,0.5,140,for_20_0.5_140,color 2
trt,for,20,0.5,141,for_20_0.5_141,color 2
trt,for,20,0.5,142,for_20_0.5_142,color 2
trt,for,20,0.5,143,for_20_0.5_143,color 2
trt,for,20,0.5,144,for_20_0.5_144,color 2
trt,for,20,0.5,145,for_20_0.5_145,color 2
trt,for,20,0.5,146,for_20_0.5_146,color 2
trt,for,20,0.5,147,for_20_0.5_147,color 2
trt,for,20,0.5,148,for_20_0.5_148,color 2
trt,for,20,0.5,149,for_20_0.5_149,color 2
trt,for,20,0.5,150,for_20_0.5_150,color 2
trt,for,20,1,151,for_20_1_151,color 3
trt,for,20,1,152,for_20_1_152,color 3
trt,for,20,1,153,for_20_1_153,color 3
trt,for,20,1,154,for_20_1_154,color 3
trt,for,20,1,155,for_20_1_155,color 3
trt,for,20,1,156,for_20_1_156,color 3
trt,for,20,1,157,for_20_1_157,color 3
trt,for,20,1,158,for_20_1_158,color 3
trt,for,20,1,159,for_20_1_159,color 3
trt,for,20,1,160,for_20_1_160,color 3
trt,for,20,1,161,for_20_1_161,color 3
trt,for,20,1,162,for_20_1_162,color 3
trt,for,20,1,163,for_20_1_163,color 3
trt,for,20,1,164,for_20_1_164,color 3
trt,for,20,1,165,for_20_1_165,color 3
trt,for,20,1,166,for_20_1_166,color 3
trt,for,20,1,167,for_20_1_167,color 3
trt,for,20,1,168,for_20_1_168,color 3
trt,for,20,1,169,for_20_1_169,color 3
trt,for,20,1,170,for_20_1_170,color 3
trt,for,20,1,171,for_20_1_171,color 3
trt,for,20,1,172,for_20_1_172,color 3
trt,for,20,1,173,for_20_1_173,color 3
trt,for,20,1,174,for_20_1_174,color 3
trt,for,20,1,175,for_20_1_175,color 3
trt,for,20,1,176,for_20_1_176,color 3
trt,for,20,1,177,for_20_1_177,color 3
trt,for,20,1,178,for_20_1_178,color 3
trt,for,20,1,179,for_20_1_179,color 3
trt,for,20,1,180,for_20_1_180,color 3
trt,for,25,0.1,181,for_25_0.1_181,color 1
trt,for,25,0.1,182,for_25_0.1_182,color 1
trt,for,25,0.1,183,for_25_0.1_183,color 1
trt,for,25,0.1,184,for_25_0.1_184,color 1
trt,for,25,0.1,185,for_25_0.1_185,color 1
trt,for,25,0.1,186,for_25_0.1_186,color 1
trt,for,25,0.1,187,for_25_0.1_187,color 1
trt,for,25,0.1,188,for_25_0.1_188,color 1
trt,for,25,0.1,189,for_25_0.1_189,color 1
trt,for,25,0.1,190,for_25_0.1_190,color 1
trt,for,25,0.1,191,for_25_0.1_191,color 1
trt,for,25,0.1,192,for_25_0.1_192,color 1
trt,for,25,0.1,193,for_25_0.1_193,color 1
trt,for,25,0.1,194,for_25_0.1_194,color 1
trt,for,25,0.1,195,for_25_0.1_195,color 1
trt,for,25,0.1,196,for_25_0.1_196,color 1
trt,for,25,0.1,197,for_25_0.1_197,color 1
trt,for,25,0.1,198,for_25_0.1_198,color 1
trt,for,25,0.1,199,for_25_0.1_199,color 1
trt,for,25,0.1,200,for_25_0.1_200,color 1
trt,for,25,0.1,201,for_25_0.1_201,color 1
trt,for,25,0.1,202,for_25_0.1_202,color 1
trt,for,25,0.1,203,for_25_0.1_203,color 1
trt,for,25,0.1,204,for_25_0.1_204,color 1
trt,for,25,0.1,205,for_25_0.1_205,color 1
trt,for,25,0.1,206,for_25_0.1_206,color 1
trt,for,25,0.1,207,for_25_0.1_207,color 1
trt,for,25,0.1,208,for_25_0.1_208,color 1
trt,for,25,0.1,209,for_25_0.1_209,color 1
trt,for,25,0.1,210,for_25_0.1_210,color 1
trt,for,25,0.5,211,for_25_0.5_211,color 2
trt,for,25,0.5,212,for_25_0.5_212,color 2
trt,for,25,0.5,213,for_25_0.5_213,color 2
trt,for,25,0.5,214,for_25_0.5_214,color 2
trt,for,25,0.5,215,for_25_0.5_215,color 2
trt,for,25,0.5,216,for_25_0.5_216,color 2
trt,for,25,0.5,217,for_25_0.5_217,color 2
trt,for,25,0.5,218,for_25_0.5_218,color 2
trt,for,25,0.5,219,for_25_0.5_219,color 2
trt,for,25,0.5,220,for_25_0.5_220,color 2
trt,for,25,0.5,221,for_25_0.5_221,color 2
trt,for,25,0.5,222,for_25_0.5_222,color 2
trt,for,25,0.5,223,for_25_0.5_223,color 2
trt,for,25,0.5,224,for_25_0.5_224,color 2
trt,for,25,0.5,225,for_25_0.5_225,color 2
trt,for,25,0.5,226,for_25_0.5_226,color 2
trt,for,25,0.5,227,for_25_0.5_227,color 2
trt,for,25,0.5,228,for_25_0.5_228,color 2
trt,for,25,0.5,229,for_25_0.5_229,color 2
trt,for,25,0.5,230,for_25_0.5_230,color 2
trt,for,25,0.5,231,for_25_0.5_231,color 2
trt,for,25,0.5,232,for_25_0.5_232,color 2
trt,for,25,0.5,233,for_25_0.5_233,color 2
trt,for,25,0.5,234,for_25_0.5_234,color 2
trt,for,25,0.5,235,for_25_0.5_235,color 2
trt,for,25,0.5,236,for_25_0.5_236,color 2
trt,for,25,0.5,237,for_25_0.5_237,color 2
trt,for,25,0.5,238,for_25_0.5_238,color 2
trt,for,25,0.5,239,for_25_0.5_239,color 2
trt,for,25,0.5,240,for_25_0.5_240,color 2
trt,for,25,1,241,for_25_1_241,color 3
trt,for,25,1,242,for_25_1_242,color 3
trt,for,25,1,243,for_25_1_243,color 3
trt,for,25,1,244,for_25_1_244,color 3
trt,for,25,1,245,for_25_1_245,color 3
trt,for,25,1,246,for_25_1_246,color 3
trt,for,25,1,247,for_25_1_247,color 3
trt,for,25,1,248,for_25_1_248,color 3
trt,for,25,1,249,for_25_1_249,color 3
trt,for,25,1,250,for_25_1_250,color 3
trt,for,25,1,251,for_25_1_251,color 3
trt,for,25,1,252,for_25_1_252,color 3
trt,for,25,1,253,for_25_1_253,color 3
trt,for,25,1,254,for_25_1_254,color 3
trt,for,25,1,255,for_25_1_255,color 3
trt,for,25,1,256,for_25_1_256,color 3
trt,for,25,1,257,for_25_1_257,color 3
trt,for,25,1,258,for_25_1_258,color 3
trt,for,25,1,259,for_25_1_259,color 3
trt,for,25,1,260,for_25_1_260,color 3
trt,for,25,1,261,for_25_1_261,color 3
trt,for,25,1,262,for_25_1_262,color 3
trt,for,25,1,263,for_25_1_263,color 3
trt,for,25,1,264,for_25_1_264,color 3
trt,for,25,1,265,for_25_1_265,color 3
trt,for,25,1,266,for_25_1_266,color 3
trt,for,25,1,267,for_25_1_267,color 3
trt,for,25,1,268,for_25_1_268,color 3
trt,for,25,1,269,for_25_1_269,color 3
trt,for,25,1,270,for_25_1_270,color 3
C,for,15,0.1,271,Cfor_15_0.1_271,color 4
C,for,15,0.1,272,Cfor_15_0.1_272,color 4
C,for,15,0.1,273,Cfor_15_0.1_273,color 4
C,for,15,0.1,274,Cfor_15_0.1_274,color 4
C,for,20,0.1,275,Cfor_20_0.1_275,color 4
C,for,20,0.1,276,Cfor_20_0.1_276,color 4
C,for,20,0.1,277,Cfor_20_0.1_277,color 4
C,for,20,0.1,278,Cfor_20_0.1_278,color 4
C,for,25,0.1,279,Cfor_25_0.1_279,color 4
C,for,25,0.1,280,Cfor_25_0.1_280,color 4
C,for,25,0.1,281,Cfor_25_0.1_281,color 4
C,for,25,0.1,282,Cfor_25_0.1_282,color 4
C,for,15,0.5,283,Cfor_15_0.5_283,color 4
C,for,15,0.5,284,Cfor_15_0.5_284,color 4
C,for,15,0.5,285,Cfor_15_0.5_285,color 4
C,for,15,0.5,286,Cfor_15_0.5_286,color 4
C,for,20,0.5,287,Cfor_20_0.5_287,color 4
C,for,20,0.5,288,Cfor_20_0.5_288,color 4
C,for,20,0.5,289,Cfor_20_0.5_289,color 4
C,for,20,0.5,290,Cfor_20_0.5_290,color 4
C,for,25,0.5,291,Cfor_25_0.5_291,color 4
C,for,25,0.5,292,Cfor_25_0.5_292,color 4
C,for,25,0.5,293,Cfor_25_0.5_293,color 4
C,for,25,0.5,294,Cfor_25_0.5_294,color 4
C,for,15,1,295,Cfor_15_1_295,color 4
C,for,15,1,296,Cfor_15_1_296,color 4
C,for,15,1,297,Cfor_15_1_297,color 4
C,for,15,1,298,Cfor_15_1_298,color 4
C,for,20,1,299,Cfor_20_1_299,color 4
C,for,20,1,300,Cfor_20_1_300,color 4
C,for,20,1,301,Cfor_20_1_301,color 4
C,for,20,1,302,Cfor_20_1_302,color 4
C,for,25,1,303,Cfor_25_1_303,color 4
C,for,25,1,304,Cfor_25_1_304,color 4
C,for,25,1,305,Cfor_25_1_305,color 4
C,for,25,1,306,Cfor_25_1_306,color 4
