tube,species,mean_temp,temp_var,temp_id,resource,male,removed,KBP,missing,mortality_day,lifespan,end_data_date,length_RAW,length_mag_correction,lm_corr_factor,inf,spore_RAW,spore_water_added,notes
144,daphnia,20,14,14V,1,,1,,,NA,NA,5/23/22,88,1,-2,0,NA,,
145,daphnia,20,14,14V,1,1,1,,,NA,NA,5/1/22,62,,,0,NA,,
146,daphnia,20,14,14V,1,,,,,5/20/22,45,,98,1,-1,0,NA,,
147,daphnia,20,14,14V,1,1,1,,,NA,NA,4/30/22,62,,,0,NA,,
148,daphnia,20,14,14V,1,,1,,,NA,NA,5/23/22,81,1,-2,0,NA,,
149,daphnia,20,14,14V,1,,,,,4/27/22,22,,100,,,0,NA,,
150,daphnia,20,14,14V,1,,,,,5/22/22,47,,88,1,-2,0,NA,,
151,daphnia,15,0,15,0.1,,1,,,NA,NA,5/23/22,82,,,0,NA,,
152,daphnia,15,0,15,0.1,,1,,,NA,NA,5/23/22,84,,,0,NA,,
153,daphnia,15,0,15,0.1,,,,,5/21/22,46,,91,,,0,NA,,
154,daphnia,15,0,15,0.1,,,,1,NA,NA,5/13/22,NA,,,NA,NA,,
155,daphnia,15,0,15,0.1,,1,,,NA,NA,5/23/22,91,,,0,NA,,
156,daphnia,15,0,15,0.1,,1,,,NA,NA,5/23/22,84,,,0,NA,,
157,daphnia,15,0,15,0.1,,1,,,NA,NA,5/23/22,90,,,0,NA,,
158,daphnia,15,0,15,0.1,,,,,5/23/22,48,,NA,,,0,NA,,
159,daphnia,15,0,15,0.1,,,,,4/15/22,10,,35,,,NA,NA,,
160,daphnia,15,0,15,0.1,,,,1,NA,NA,4/14/22,NA,,,NA,NA,,
161,daphnia,15,0,15,0.1,,1,,,NA,NA,5/23/22,84,,,0,NA,,
162,daphnia,15,0,15,0.1,,,,,4/16/22,11,,46,,,NA,NA,,
163,daphnia,15,0,15,0.1,,,,,4/12/22,7,,40,,,NA,NA,,
164,daphnia,15,0,15,0.1,,,,,5/23/22,48,,81,,,0,NA,,
165,daphnia,15,0,15,0.1,,,,,5/23/22,48,,78,,,0,NA,,
166,daphnia,15,0,15,0.1,,,,,5/21/22,46,,79,,,1,104,1,
167,daphnia,15,0,15,0.1,,,,,4/14/22,9,,44,,,NA,NA,,
168,daphnia,15,0,15,0.1,,,,,4/14/22,9,,42,,,NA,NA,,
169,daphnia,15,0,15,0.1,,,1,,NA,NA,4/11/22,NA,,,NA,NA,,
170,daphnia,15,0,15,0.1,,1,,,NA,NA,5/18/22,90,,,0,NA,,
171,daphnia,15,0,15,0.1,,1,,,NA,NA,5/18/22,86,,,0,NA,,
172,daphnia,15,0,15,0.1,,,,,4/12/22,7,,33,,,NA,NA,,
173,daphnia,15,0,15,0.1,,,,,4/15/22,10,,48,,,NA,NA,,
174,daphnia,15,0,15,0.1,1,1,,,NA,NA,5/5/22,57,,,0,NA,,
175,daphnia,15,0,15,0.1,,,,,4/14/22,9,,46,,,NA,NA,,
176,daphnia,15,0,15,0.1,,1,,,NA,NA,5/18/22,84,,,0,NA,,
177,daphnia,15,0,15,0.1,,1,,,NA,NA,5/18/22,85,,,0,NA,,
178,daphnia,15,0,15,0.1,,1,,,NA,NA,5/18/22,90,,,0,NA,,
179,daphnia,15,0,15,0.1,,1,,,NA,NA,5/18/22,83,,,0,NA,,
180,daphnia,15,0,15,0.1,,1,,,NA,NA,5/18/22,82,,,0,NA,,
181,daphnia,15,0,15,0.1,,,,,4/13/22,8,,50,,,NA,NA,,
182,daphnia,15,0,15,0.1,,,,,4/13/22,8,,51,,,NA,NA,,
183,daphnia,15,0,15,0.1,,1,,,NA,NA,5/18/22,91,,,0,NA,,
184,daphnia,15,0,15,0.1,,1,,,NA,NA,5/18/22,81,,,0,NA,,
185,daphnia,15,0,15,0.1,,,,,4/13/22,8,,40,,,NA,NA,,
186,daphnia,15,0,15,0.1,,,,,4/14/22,9,,44,,,NA,NA,,
187,daphnia,15,0,15,0.1,,,,,4/17/22,12,,56,,,NA,NA,,
188,daphnia,15,0,15,0.1,,,,,4/13/22,8,,40,,,NA,NA,,
189,daphnia,15,0,15,0.1,,1,,,NA,NA,5/18/22,90,,,0,NA,,
190,daphnia,15,0,15,0.1,,1,,,NA,NA,5/18/22,84,,,0,NA,,
191,daphnia,15,0,15,0.1,,,,,4/14/22,9,,45,,,NA,NA,,
192,daphnia,15,0,15,0.1,,,,1,NA,NA,4/13/22,NA,,,NA,NA,,
193,daphnia,15,0,15,0.1,,1,,,NA,NA,5/18/22,83,,,0,NA,,
194,daphnia,15,0,15,0.1,,,,,4/14/22,9,,43,,,NA,NA,,
195,daphnia,15,0,15,0.1,,1,,,NA,NA,5/18/22,86,,,0,NA,,
196,daphnia,15,0,15,0.1,,1,,,NA,NA,5/18/22,84,,,0,NA,,
197,daphnia,15,0,15,0.1,,1,,,NA,NA,5/18/22,89,,,0,NA,,
198,daphnia,15,0,15,0.1,,,,1,NA,NA,4/14/22,NA,,,NA,NA,,
199,daphnia,15,0,15,0.1,,1,,,NA,NA,5/18/22,83,,,0,NA,,
200,daphnia,15,0,15,0.1,,,,,4/16/22,11,,56,,,NA,NA,,
201,daphnia,15,0,15,0.1,,,,1,NA,NA,4/11/22,NA,,,NA,NA,,
202,daphnia,15,0,15,0.1,,1,,,NA,NA,5/18/22,87,,,0,NA,,
203,daphnia,15,0,15,0.1,,,,1,NA,NA,4/14/22,NA,,,NA,NA,,
204,daphnia,15,0,15,0.1,,,,,4/14/22,9,,41,,,NA,NA,,
205,daphnia,15,0,15,0.1,,,,,4/14/22,9,,35,,,NA,NA,,
206,daphnia,15,0,15,0.1,,,,,4/12/22,7,,36,,,NA,NA,,
207,daphnia,15,0,15,0.1,,1,,,NA,NA,5/18/22,88,,,0,NA,,
208,daphnia,15,0,15,0.1,,1,,,NA,NA,5/18/22,91,,,0,NA,,
209,daphnia,15,0,15,0.1,,,,,4/12/22,7,,NA,,,NA,NA,,
210,daphnia,15,0,15,0.1,,1,,,NA,NA,5/18/22,85,,,0,NA,,
211,daphnia,15,0,15,0.5,,,,,5/21/22,46,,94,,,0,NA,,
212,daphnia,15,0,15,0.5,,1,,,NA,NA,5/23/22,93,,,0,NA,,
213,daphnia,15,0,15,0.5,,,,,5/1/22,26,,55,,,0,NA,,
214,daphnia,15,0,15,0.5,,1,,,NA,NA,5/23/22,92,,,0,NA,,
215,daphnia,15,0,15,0.5,,,,,5/21/22,46,,82,,,0,NA,,
216,daphnia,15,0,15,0.5,,1,,,NA,NA,5/23/22,95,,,0,NA,,
217,daphnia,15,0,15,0.5,,1,,,NA,NA,5/23/22,92,,,0,NA,,
218,daphnia,15,0,15,0.5,,1,,,NA,NA,5/23/22,85,,,0,NA,,
219,daphnia,15,0,15,0.5,,1,,,NA,NA,5/23/22,93,,,0,NA,,
220,daphnia,15,0,15,0.5,,,,1,NA,NA,4/10/22,NA,,,NA,NA,,
221,daphnia,15,0,15,0.5,,1,,,NA,NA,5/23/22,88,,,0,NA,,
222,daphnia,15,0,15,0.5,,1,,,NA,NA,5/23/22,99,,,0,NA,,
223,daphnia,15,0,15,0.5,,1,,,NA,NA,5/23/22,92,,,0,NA,,
224,daphnia,15,0,15,0.5,,1,,,NA,NA,5/23/22,94,,,0,NA,,
225,daphnia,15,0,15,0.5,,,,,5/21/22,46,,94,,,0,NA,,
226,daphnia,15,0,15,0.5,1,1,,,NA,NA,5/1/22,56,,,0,NA,,
227,daphnia,15,0,15,0.5,,1,,,NA,NA,5/18/22,92,,,0,NA,,
228,daphnia,15,0,15,0.5,,1,,,NA,NA,5/18/22,91,,,0,NA,,
229,daphnia,15,0,15,0.5,,,,,5/12/22,37,,60,,,1,40,1,
230,daphnia,15,0,15,0.5,1,1,,,NA,NA,5/1/22,57,,,0,NA,,
231,daphnia,15,0,15,0.5,,1,,,NA,NA,5/18/22,93,,,0,NA,,
232,daphnia,15,0,15,0.5,,1,,,NA,NA,5/18/22,100,,,0,NA,,
233,daphnia,15,0,15,0.5,,,,1,NA,NA,4/20/22,NA,,,NA,NA,,
234,daphnia,15,0,15,0.5,,1,,,NA,NA,5/18/22,95,,,0,NA,,
235,daphnia,15,0,15,0.5,,1,,,NA,NA,5/18/22,92,,,0,NA,,
236,daphnia,15,0,15,0.5,,1,,,NA,NA,5/18/22,97,,,0,NA,,
237,daphnia,15,0,15,0.5,,1,,,NA,NA,5/18/22,97,,,0,NA,,
