tube,species,mean_temp,temp_var,temp_id,resource,male,REMOVED,KBP,end_data_date,mortality_day,final_date,4/10/22,4/11/22,4/12/22,4/13/22,4/14/22,4/15/22,4/16/22,4/17/22,4/18/22,4/19/22,4/20/22,4/21/22,4/22/22,4/23/22,4/24/22,4/25/22,4/26/22,4/27/22,4/28/22,4/29/22,4/30/22,5/1/22,5/2/22,5/3/22,5/4/22,5/5/22,5/6/22,5/7/22,5/8/22,5/9/22,5/10/22,5/11/22,5/12/22,5/13/22,5/14/22,5/15/22,5/16/22,5/17/22,5/18/22,5/19/22,5/20/22,5/21/22,5/22/22,5/23/22,inf
94,daphnia,20,6,6V,1,,,,,5/20/22,5/20/22,0,0,0,0,5,0,0,11,0,0,8,0,0,11,0,0,11,0,0,10,0,0,1,7,0,0,16,0,0,16,0,0,14,0,0,0,12,0,0,10,0,NA,NA,NA,0
95,daphnia,20,6,6V,1,,1,,5/23/22,NA,5/23/22,0,0,0,0,4,0,0,10,0,0,14,0,0,9,0,0,10,0,0,9,0,0,13,0,0,13,0,0,0,13,0,0,17,0,0,11,0,0,15,0,0,0,14,NA,0
96,daphnia,20,6,6V,1,1,1,,4/30/22,NA,4/30/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
97,daphnia,20,6,6V,1,,1,,5/23/22,NA,5/23/22,0,0,0,0,4,0,0,10,0,0,5,0,0,0,14,0,0,12,0,0,13,0,0,9,0,0,7,0,0,1,4,0,0,17,0,0,19,0,0,0,0,0,0,NA,0
98,daphnia,20,6,6V,1,,,,,5/22/22,5/22/22,0,0,0,0,5,0,0,9,0,0,12,0,0,7,0,0,9,0,0,9,2,0,0,16,0,0,15,0,0,17,0,0,19,0,0,15,0,0,0,16,0,0,6,NA,0
99,daphnia,20,6,6V,1,,,,,5/22/22,5/22/22,0,0,0,0,0,6,0,9,0,0,0,0,0,0,12,0,0,13,0,0,15,0,0,14,0,0,0,20,0,0,20,0,0,17,0,0,20,0,0,0,18,0,0,NA,0
100,daphnia,20,6,6V,1,,1,,5/23/22,NA,5/23/22,0,0,0,0,4,0,0,11,0,0,14,0,0,0,5,0,0,9,0,0,13,0,0,16,0,0,14,0,0,14,0,0,0,15,0,0,16,0,0,14,0,0,0,NA,0
101,daphnia,20,14,14V,1,,,,,5/1/22,5/1/22,0,0,0,0,0,0,3,1,0,10,0,0,10,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
102,daphnia,20,14,14V,1,,,,,4/30/22,4/30/22,0,0,0,4,0,0,7,0,0,13,0,0,11,0,0,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
103,daphnia,20,14,14V,1,,,,,4/27/22,4/27/22,0,0,0,4,0,0,8,0,0,0,0,0,6,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
104,daphnia,20,14,14V,1,,,,4/10/22,NA,4/10/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,daphnia,20,14,14V,1,,1,,5/18/22,NA,5/18/22,0,0,0,4,0,0,7,0,11,0,0,4,0,0,5,0,0,11,0,0,11,0,11,0,0,6,0,0,0,0,0,0,0,0,10,0,0,12,NA,NA,NA,NA,NA,NA,0
106,daphnia,20,14,14V,1,,,,,4/22/22,4/22/22,0,0,0,6,0,0,0,0,0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
107,daphnia,20,14,14V,1,,,,,4/29/22,4/29/22,0,0,0,2,0,0,8,0,0,12,0,0,7,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
108,daphnia,20,14,14V,1,,,,,4/24/22,4/24/22,0,0,0,0,0,0,4,0,0,10,0,0,7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
109,daphnia,20,14,14V,1,,,,,4/24/22,4/24/22,0,0,0,3,0,0,8,0,0,13,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
110,daphnia,20,14,14V,1,1,,,,4/24/22,4/24/22,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
111,daphnia,20,14,14V,1,,1,,5/18/22,NA,5/18/22,0,0,0,1,0,0,8,0,0,13,0,0,8,0,0,0,0,2,0,0,13,0,0,14,0,0,12,0,0,11,0,0,12,0,0,11,0,0,NA,NA,NA,NA,NA,NA,0
112,daphnia,20,14,14V,1,,,,,4/24/22,4/24/22,0,0,0,1,0,0,9,0,0,14,0,0,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
113,daphnia,20,14,14V,1,,,,,4/24/22,4/24/22,0,0,0,0,0,0,1,0,7,2,0,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
114,daphnia,20,14,14V,1,,,,,4/19/22,4/19/22,0,0,0,2,0,0,11,0,0,11,0,0,6,0,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
115,daphnia,20,14,14V,1,,1,,5/18/22,NA,5/18/22,0,0,0,0,0,2,0,0,9,0,0,10,0,0,7,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0
116,daphnia,20,14,14V,1,,,,,4/27/22,4/27/22,0,0,0,5,0,0,0,0,1,10,0,1,6,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
117,daphnia,20,14,14V,1,,,,,4/26/22,4/26/22,0,0,0,4,0,0,7,0,0,10,0,0,7,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
118,daphnia,20,14,14V,1,,,,,4/27/22,4/27/22,0,0,0,0,4,0,1,8,0,10,0,0,3,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
119,daphnia,20,14,14V,1,,,,,4/26/22,4/26/22,0,0,0,4,0,0,7,0,0,11,0,0,7,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
120,daphnia,20,14,14V,1,,,,,4/30/22,4/30/22,0,0,0,0,4,0,4,1,0,0,0,0,4,0,0,10,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
121,daphnia,20,14,14V,1,,,,,4/23/22,4/23/22,0,0,0,5,0,0,6,0,0,6,0,0,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
122,daphnia,20,14,14V,1,,,,,4/24/22,4/24/22,0,0,0,0,0,0,3,0,0,5,0,0,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
123,daphnia,20,14,14V,1,1,,,,4/25/22,4/25/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
124,daphnia,20,14,14V,1,,,,,4/29/22,4/29/22,0,0,0,5,0,0,8,0,0,10,0,0,9,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
125,daphnia,20,14,14V,1,,,,,4/26/22,4/26/22,0,0,0,4,0,0,7,0,0,10,0,0,9,0,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
126,daphnia,20,14,14V,1,,,,,4/22/22,4/22/22,0,0,0,0,0,0,0,0,6,0,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
127,daphnia,20,14,14V,1,,,,,4/30/22,4/30/22,0,0,0,1,0,0,8,0,0,11,0,0,5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
128,daphnia,20,14,14V,1,1,,,,4/21/22,4/21/22,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
129,daphnia,20,14,14V,1,,,,,5/3/22,5/3/22,0,0,0,2,0,0,8,0,0,10,0,4,5,0,0,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
130,daphnia,20,14,14V,1,,,,,4/22/22,4/22/22,0,0,0,2,0,0,7,0,0,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
131,daphnia,20,14,14V,1,,,,,4/25/22,4/25/22,0,0,0,0,0,5,0,0,8,0,0,7,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
132,daphnia,20,14,14V,1,,,,,4/24/22,4/24/22,0,0,0,0,1,0,4,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
133,daphnia,20,14,14V,1,,,,,4/23/22,4/23/22,0,0,0,0,5,0,0,8,0,0,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
134,daphnia,20,14,14V,1,,,,,4/24/22,4/24/22,0,0,0,0,0,0,0,8,0,4,4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
135,daphnia,20,14,14V,1,,,,,5/15/22,5/15/22,0,0,0,2,0,0,8,0,0,11,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
136,daphnia,20,14,14V,1,,,1,5/7/22,NA,5/7/22,0,0,0,5,0,0,7,0,0,8,0,0,8,0,0,9,0,0,12,0,0,13,0,0,16,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
137,daphnia,20,14,14V,1,,,,,5/23/22,5/23/22,0,0,0,3,0,0,0,0,0,10,0,0,8,0,0,7,0,0,9,0,0,11,0,0,13,0,0,13,0,0,9,0,0,4,0,0,0,0,0,0,0,0,0,0,0
138,daphnia,20,14,14V,1,,,,,5/23/22,5/23/22,0,0,0,4,0,0,7,0,0,9,0,0,9,0,0,10,0,0,13,0,5,7,0,8,1,0,0,15,0,12,1,0,12,0,0,0,0,0,0,0,0,0,5,0,0
139,daphnia,20,14,14V,1,,1,,5/23/22,NA,5/23/22,0,0,0,4,0,0,8,0,0,7,0,0,5,0,0,6,0,5,6,0,3,8,0,6,4,0,0,11,0,9,3,0,0,7,0,7,6,0,0,11,0,0,7,NA,0
140,daphnia,20,14,14V,1,,1,,5/23/22,NA,5/23/22,0,0,0,0,4,0,0,6,0,0,5,0,6,0,0,2,0,0,8,0,0,15,0,0,14,0,0,15,0,0,15,0,0,14,0,0,13,0,0,9,1,0,0,NA,0
141,daphnia,20,14,14V,1,,,,,5/17/22,5/17/22,0,0,0,0,2,0,0,1,0,0,7,0,0,8,0,1,0,0,0,0,0,0,0,0,7,0,0,10,0,0,12,0,0,12,0,0,2,0,NA,NA,NA,NA,NA,NA,0
142,daphnia,20,14,14V,1,1,1,,4/30/22,NA,4/30/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
143,daphnia,20,14,14V,1,,,,5/2/22,NA,5/2/22,0,0,0,0,5,0,7,0,0,0,0,0,5,0,0,11,0,0,15,0,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,daphnia,20,14,14V,1,,1,,5/23/22,NA,5/23/22,0,0,0,0,5,0,0,8,0,0,11,0,0,9,0,0,10,0,0,14,2,0,14,0,0,10,0,0,11,0,0,13,0,0,16,0,0,8,0,0,10,0,0,NA,0
145,daphnia,20,14,14V,1,1,1,,5/1/22,NA,5/1/22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
146,daphnia,20,14,14V,1,,,,,5/20/22,5/20/22,0,0,0,0,0,4,0,0,7,0,0,4,0,0,0,0,6,0,0,3,6,0,5,3,0,10,2,0,13,0,0,8,0,0,0,3,0,0,0,0,0,NA,NA,NA,0
147,daphnia,20,14,14V,1,1,1,,4/30/22,NA,4/30/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
148,daphnia,20,14,14V,1,,1,,5/23/22,NA,5/23/22,0,0,0,0,0,0,3,0,5,0,0,1,0,0,3,0,0,7,0,0,9,0,0,14,0,0,20,0,0,5,0,0,12,0,0,12,0,0,9,0,0,2,0,NA,0
149,daphnia,20,14,14V,1,,,,,4/27/22,4/27/22,0,0,0,0,3,0,5,0,0,2,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
150,daphnia,20,14,14V,1,,,,,5/22/22,5/22/22,0,0,0,3,1,0,10,0,0,12,0,0,9,0,0,10,0,0,12,0,1,16,0,0,13,0,0,16,0,0,17,0,2,17,0,0,18,0,0,13,0,0,4,NA,0
151,daphnia,15,0,15,0.1,,1,,5/23/22,NA,5/23/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,7,0,0,0,0,5,0,0,0,0,6,0,0,0,0,7,0,0,NA,0
152,daphnia,15,0,15,0.1,,1,,5/23/22,NA,5/23/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,1,0,0,0,5,0,0,0,5,0,0,0,0,7,0,0,0,0,7,0,0,0,0,NA,0
153,daphnia,15,0,15,0.1,,,,,5/21/22,5/21/22,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,5,0,0,0,0,4,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,9,NA,NA,0
154,daphnia,15,0,15,0.1,,,,5/13/22,NA,5/13/22,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,daphnia,15,0,15,0.1,,1,,5/23/22,NA,5/23/22,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,8,0,0,0,0,5,0,0,1,0,6,0,0,0,0,6,0,0,0,0,7,NA,0
156,daphnia,15,0,15,0.1,,1,,5/23/22,NA,5/23/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,4,0,0,0,0,4,0,0,0,0,5,0,0,0,0,6,0,0,0,0,NA,0
157,daphnia,15,0,15,0.1,,1,,5/23/22,NA,5/23/22,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,4,0,0,0,0,6,0,0,0,0,7,0,0,0,0,6,0,0,0,0,8,0,NA,0
158,daphnia,15,0,15,0.1,,,,,5/23/22,5/23/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,6,0,0,0,0,6,0,0,0,0,6,0,0,0,0,8,0,0
159,daphnia,15,0,15,0.1,,,,,4/15/22,4/15/22,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,daphnia,15,0,15,0.1,,,,4/14/22,NA,4/14/22,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,daphnia,15,0,15,0.1,,1,,5/23/22,NA,5/23/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,5,0,0,0,0,6,0,0,0,0,7,0,0,0,NA,0
162,daphnia,15,0,15,0.1,,,,,4/16/22,4/16/22,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
163,daphnia,15,0,15,0.1,,,,,4/12/22,4/12/22,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
164,daphnia,15,0,15,0.1,,,,,5/23/22,5/23/22,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,4,0,0,0,6,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0
165,daphnia,15,0,15,0.1,,,,,5/23/22,5/23/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,3,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,6,0,0
166,daphnia,15,0,15,0.1,,,,,5/21/22,5/21/22,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,6,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1
167,daphnia,15,0,15,0.1,,,,,4/14/22,4/14/22,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,daphnia,15,0,15,0.1,,,,,4/14/22,4/14/22,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,daphnia,15,0,15,0.1,,,,4/11/22,NA,4/11/22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,daphnia,15,0,15,0.1,,1,,5/18/22,NA,5/18/22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,6,0,0,0,3,3,0,0,0,0,5,0,0,0,0,NA,NA,NA,NA,NA,NA,0
171,daphnia,15,0,15,0.1,,1,,5/18/22,NA,5/18/22,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,6,0,0,0,0,NA,NA,NA,NA,NA,NA,0
172,daphnia,15,0,15,0.1,,,,,4/12/22,4/12/22,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,daphnia,15,0,15,0.1,,,,,4/15/22,4/15/22,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,daphnia,15,0,15,0.1,1,1,,5/5/22,NA,5/5/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
175,daphnia,15,0,15,0.1,,,,,4/14/22,4/14/22,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
176,daphnia,15,0,15,0.1,,1,,5/18/22,NA,5/18/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0
177,daphnia,15,0,15,0.1,,1,,5/18/22,NA,5/18/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,5,0,0,0,6,NA,NA,NA,NA,NA,NA,0
178,daphnia,15,0,15,0.1,,1,,5/18/22,NA,5/18/22,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,5,0,0,0,0,4,0,0,0,0,5,0,0,0,0,NA,NA,NA,NA,NA,NA,0
179,daphnia,15,0,15,0.1,,1,,5/18/22,NA,5/18/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,6,0,0,0,0,5,0,0,0,0,6,NA,NA,NA,NA,NA,NA,0
180,daphnia,15,0,15,0.1,,1,,5/18/22,NA,5/18/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,7,0,0,0,0,7,0,0,0,0,7,0,NA,NA,NA,NA,NA,NA,0
181,daphnia,15,0,15,0.1,,,,,4/13/22,4/13/22,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
182,daphnia,15,0,15,0.1,,,,,4/13/22,4/13/22,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
183,daphnia,15,0,15,0.1,,1,,5/18/22,NA,5/18/22,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,7,0,0,0,0,5,0,0,0,0,5,0,0,0,0,NA,NA,NA,NA,NA,NA,0
184,daphnia,15,0,15,0.1,,1,,5/18/22,NA,5/18/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,6,0,0,0,0,6,0,NA,NA,NA,NA,NA,NA,0
185,daphnia,15,0,15,0.1,,,,,4/13/22,4/13/22,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
186,daphnia,15,0,15,0.1,,,,,4/14/22,4/14/22,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
187,daphnia,15,0,15,0.1,,,,,4/17/22,4/17/22,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,daphnia,15,0,15,0.1,,,,,4/13/22,4/13/22,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
