tube,temp,resource,species,exposed,male,removed,KBP,missing,mortality_day,end_data_date,length_RAW,length_mag_correction,lm_corr_factor,inf,spore_RAW,spore_water_added,length
604,15,1,C,0,1,1,NA,NA,NA,5/1/22,35,NA,NA,0,NA,NA,0.6251
632,15,1,C,1,NA,NA,NA,NA,4/26/22,NA,35,NA,NA,1,15,0,0.6251
674,20,1,C,1,NA,NA,NA,NA,4/23/22,NA,35,NA,NA,1,45,1,0.6251
679,20,1,C,1,NA,NA,NA,NA,4/20/22,NA,35,NA,NA,1,36,0,0.6251
206,15,0.1,D,1,NA,NA,NA,NA,4/12/22,NA,36,NA,NA,NA,NA,NA,0.64296
661,20,1,C,0,NA,NA,NA,NA,4/30/22,NA,36,NA,NA,0,NA,NA,0.64296
690,20,1,C,1,NA,NA,NA,NA,4/22/22,NA,36,NA,NA,1,76,0,0.64296
694,20,1,C,1,NA,NA,NA,NA,4/30/22,NA,36,NA,NA,0,NA,NA,0.64296
743,25,1,C,1,NA,NA,NA,NA,4/20/22,NA,36,NA,NA,1,21,0,0.64296
637,15,1,C,1,NA,NA,NA,NA,5/4/22,NA,37,NA,NA,1,32,0,0.66082
701,25,1,C,0,NA,NA,NA,NA,4/20/22,NA,37,NA,NA,1,4,0,0.66082
735,25,1,C,1,NA,NA,NA,NA,4/18/22,NA,37,NA,NA,1,18,0,0.66082
689,20,1,C,1,NA,NA,NA,NA,4/20/22,NA,38,NA,NA,1,13,0,0.67868
726,25,1,C,1,NA,NA,NA,NA,4/18/22,NA,38,NA,NA,1,34,0,0.67868
669,20,1,C,1,NA,NA,NA,NA,4/22/22,NA,39,NA,NA,1,37,0,0.69654
670,20,1,C,1,NA,NA,NA,NA,4/23/22,NA,39,NA,NA,1,28,0,0.69654
683,20,1,C,1,NA,NA,NA,NA,5/2/22,NA,39,NA,NA,0,NA,NA,0.69654
706,25,1,C,0,NA,NA,1,NA,NA,4/16/22,39,NA,NA,NA,NA,NA,0.69654
717,25,1,C,1,NA,NA,NA,NA,4/19/22,NA,39,NA,NA,1,37,0,0.69654
163,15,0.1,D,0,NA,NA,NA,NA,4/12/22,NA,40,NA,NA,NA,NA,NA,0.7144
185,15,0.1,D,1,NA,NA,NA,NA,4/13/22,NA,40,NA,NA,NA,NA,NA,0.7144
188,15,0.1,D,1,NA,NA,NA,NA,4/13/22,NA,40,NA,NA,NA,NA,NA,0.7144
242,15,0.5,D,1,NA,NA,NA,NA,5/4/22,NA,40,NA,NA,0,0,1,0.7144
260,15,0.5,D,1,NA,NA,NA,NA,4/14/22,NA,40,NA,NA,NA,NA,NA,0.7144
671,20,1,C,1,NA,NA,NA,NA,4/22/22,NA,40,NA,NA,1,20,0,0.7144
708,25,1,C,0,NA,NA,NA,NA,4/28/22,NA,40,NA,NA,0,NA,NA,0.7144
732,25,1,C,1,NA,NA,NA,NA,4/19/22,NA,40,NA,NA,1,62,0,0.7144
733,25,1,C,1,NA,NA,NA,NA,4/21/22,NA,40,NA,NA,1,23,0,0.7144
736,25,1,C,1,NA,NA,NA,NA,4/17/22,NA,40,NA,NA,1,49,0,0.7144
204,15,0.1,D,1,NA,NA,NA,NA,4/14/22,NA,41,NA,NA,NA,NA,NA,0.73226
642,15,1,C,1,NA,NA,NA,NA,5/11/22,NA,41,NA,NA,0,NA,NA,0.73226
739,25,1,C,1,NA,NA,NA,NA,4/17/22,NA,41,NA,NA,1,62,0,0.73226
168,15,0.1,D,1,NA,NA,NA,NA,4/14/22,NA,42,NA,NA,NA,NA,NA,0.75012
745,25,1,C,1,NA,NA,NA,NA,4/21/22,NA,42,NA,NA,1,50,0,0.75012
194,15,0.1,D,1,NA,NA,NA,NA,4/14/22,NA,43,NA,NA,NA,NA,NA,0.76798
248,15,0.5,D,1,NA,NA,NA,NA,4/15/22,NA,43,NA,NA,NA,NA,NA,0.76798
167,15,0.1,D,1,NA,NA,NA,NA,4/14/22,NA,44,NA,NA,NA,NA,NA,0.78584
186,15,0.1,D,1,NA,NA,NA,NA,4/14/22,NA,44,NA,NA,NA,NA,NA,0.78584
191,15,0.1,D,1,NA,NA,NA,NA,4/14/22,NA,45,NA,NA,NA,NA,NA,0.8037
704,25,1,C,0,NA,NA,NA,NA,5/12/22,NA,45,NA,NA,0,NA,NA,0.8037
707,25,1,C,0,NA,NA,NA,NA,5/14/22,NA,45,NA,NA,0,NA,NA,0.8037
162,15,0.1,D,0,NA,NA,NA,NA,4/16/22,NA,46,NA,NA,NA,NA,NA,0.82156
175,15,0.1,D,1,NA,NA,NA,NA,4/14/22,NA,46,NA,NA,NA,NA,NA,0.82156
265,15,0.5,D,1,NA,NA,NA,NA,4/15/22,NA,46,NA,NA,NA,NA,NA,0.82156
292,15,1,D,1,NA,NA,NA,NA,4/15/22,NA,46,NA,NA,NA,NA,NA,0.82156
714,25,1,C,0,NA,NA,NA,NA,5/5/22,NA,46,NA,NA,0,NA,NA,0.82156
173,15,0.1,D,1,NA,NA,NA,NA,4/15/22,NA,48,NA,NA,NA,NA,NA,0.85728
181,15,0.1,D,1,NA,NA,NA,NA,4/13/22,NA,50,NA,NA,NA,NA,NA,0.893
182,15,0.1,D,1,NA,NA,NA,NA,4/13/22,NA,51,NA,NA,NA,NA,NA,0.91086
19,2V,1,D,1,NA,NA,NA,NA,4/10/22,NA,52,NA,NA,NA,NA,NA,0.92872
417,20,0.5,D,1,1,NA,NA,NA,4/22/22,NA,52,NA,NA,0,0,1,0.92872
357,20,0.1,D,1,1,NA,NA,NA,4/20/22,NA,53,NA,NA,1,69,0,0.94658
348,20,0.1,D,1,NA,NA,NA,NA,4/23/22,NA,54,NA,NA,1,29,1,0.96444
358,20,0.1,D,1,1,1,NA,NA,NA,4/30/22,54,NA,NA,0,NA,NA,0.96444
213,15,0.5,D,0,NA,NA,NA,NA,5/1/22,NA,55,NA,NA,0,NA,NA,0.9823
187,15,0.1,D,1,NA,NA,NA,NA,4/17/22,NA,56,NA,NA,NA,NA,NA,1.00016
200,15,0.1,D,1,NA,NA,NA,NA,4/16/22,NA,56,NA,NA,NA,NA,NA,1.00016
226,15,0.5,D,1,1,1,NA,NA,NA,5/1/22,56,NA,NA,0,NA,NA,1.00016
269,15,0.5,D,1,1,1,NA,NA,NA,5/1/22,56,NA,NA,0,NA,NA,1.00016
174,15,0.1,D,1,1,1,NA,NA,NA,5/5/22,57,NA,NA,0,NA,NA,1.01802
230,15,0.5,D,1,1,1,NA,NA,NA,5/1/22,57,NA,NA,0,NA,NA,1.01802
277,15,1,D,0,1,1,NA,NA,NA,5/5/22,57,NA,NA,0,NA,NA,1.01802
374,20,0.1,D,1,NA,NA,NA,NA,4/22/22,NA,57,NA,NA,1,31,1,1.01802
432,20,1,D,0,1,NA,1,NA,NA,4/23/22,57,NA,NA,0,1,1,1.01802
509,25,0.1,D,1,NA,NA,NA,NA,4/26/22,NA,57,NA,NA,1,44,1,1.01802
142,14V,1,D,0,1,1,NA,NA,NA,4/30/22,58,NA,NA,0,NA,NA,1.03588
238,15,0.5,D,1,1,1,NA,NA,NA,5/1/22,58,NA,NA,0,NA,NA,1.03588
359,20,0.1,D,1,1,NA,NA,NA,4/24/22,NA,59,NA,NA,1,34,1,1.05374
381,20,0.5,D,0,1,1,NA,NA,NA,5/1/22,59,NA,NA,0,NA,NA,1.05374
389,20,0.5,D,0,1,1,NA,NA,NA,5/1/22,59,NA,NA,0,NA,NA,1.05374
392,20,0.5,D,1,NA,NA,NA,NA,4/22/22,NA,59,NA,NA,1,34,1,1.05374
80,6V,1,D,1,1,NA,NA,NA,NA,4/30/22,60,NA,NA,0,NA,NA,1.0716
128,14V,1,D,1,1,NA,NA,NA,4/21/22,NA,60,NA,NA,1,39,1,1.0716
229,15,0.5,D,1,NA,NA,NA,NA,5/12/22,NA,60,NA,NA,1,40,1,1.0716
503,25,0.1,D,1,1,NA,NA,NA,4/21/22,NA,60,NA,NA,1,92,0,1.0716
39,2V,1,D,0,1,NA,NA,NA,4/30/22,NA,61,NA,NA,0,NA,NA,1.08946
123,14V,1,D,1,1,NA,NA,NA,4/25/22,NA,61,NA,NA,1,27,1,1.08946
406,20,0.5,D,1,1,1,NA,NA,NA,5/1/22,61,NA,NA,0,NA,NA,1.08946
415,20,0.5,D,1,1,1,NA,NA,NA,5/1/22,61,NA,NA,0,NA,NA,1.08946
435,20,1,D,0,1,1,NA,NA,NA,5/1/22,61,NA,NA,0,NA,NA,1.08946
539,25,0.5,D,1,1,1,NA,NA,NA,4/16/22,61,NA,NA,1,70,0,1.08946
554,25,0.5,D,1,1,1,NA,NA,NA,4/16/22,61,NA,NA,1,NA,NA,1.08946
145,14V,1,D,0,1,1,NA,NA,NA,5/1/22,62,NA,NA,0,NA,NA,1.10732
147,14V,1,D,0,1,1,NA,NA,NA,4/30/22,62,NA,NA,0,NA,NA,1.10732
399,20,0.5,D,1,1,NA,NA,NA,4/24/22,NA,62,NA,NA,1,27,1,1.10732
403,20,0.5,D,1,1,1,NA,NA,NA,5/1/22,62,NA,NA,0,NA,NA,1.10732
555,25,0.5,D,1,1,1,NA,NA,NA,4/16/22,62,NA,NA,1,104,0,1.10732
342,20,0.1,D,0,1,1,NA,NA,NA,5/1/22,63,NA,NA,0,NA,NA,1.12518
421,20,1,D,0,1,1,NA,NA,NA,5/1/22,63,NA,NA,0,NA,NA,1.12518
96,6V,1,D,0,1,1,NA,NA,NA,4/30/22,64,NA,NA,0,NA,NA,1.14304
258,15,0.5,D,1,NA,NA,NA,NA,4/22/22,NA,64,NA,NA,0,0,1,1.14304
368,20,0.1,D,1,1,NA,NA,NA,4/23/22,NA,64,NA,NA,1,27,1,1.14304
313,15,1,D,1,NA,NA,NA,NA,4/14/22,NA,65,NA,NA,NA,NA,NA,1.1609
466,25,0.1,D,0,NA,NA,NA,NA,4/13/22,NA,65,NA,NA,0,NA,NA,1.1609
597,25,1,D,1,NA,NA,NA,NA,4/12/22,NA,65,NA,NA,NA,NA,NA,1.1609
50,2V,1,D,0,1,NA,NA,NA,NA,5/1/22,66,NA,NA,0,NA,NA,1.17876
364,20,0.1,D,1,NA,NA,NA,NA,4/29/22,NA,67,NA,NA,1,110,1,1.19662
16,2V,1,D,1,NA,NA,NA,NA,4/20/22,NA,69,NA,NA,1,211,0,1.23234
551,25,0.5,D,1,NA,NA,NA,NA,4/19/22,NA,69,NA,NA,1,134,0,1.23234
126,14V,1,D,1,NA,NA,NA,NA,4/22/22,NA,70,NA,NA,1,87,1,1.2502
516,25,0.5,D,0,NA,NA,NA,NA,4/10/22,NA,70,NA,NA,NA,NA,NA,1.2502
520,25,0.5,D,0,NA,NA,NA,NA,4/10/22,NA,70,NA,NA,NA,NA,NA,1.2502
545,25,0.5,D,1,NA,NA,NA,NA,4/10/22,NA,70,NA,NA,NA,NA,NA,1.2502
378,20,0.5,D,0,NA,NA,1,NA,NA,4/15/22,71,NA,NA,NA,NA,NA,1.26806
501,25,0.1,D,1,NA,NA,NA,NA,4/20/22,NA,71,NA,NA,1,96,0,1.26806
411,20,0.5,D,1,NA,NA,NA,NA,4/25/22,NA,72,NA,NA,1,132,1,1.28592
518,25,0.5,D,0,NA,NA,NA,NA,4/10/22,NA,72,NA,NA,NA,NA,NA,1.28592
553,25,0.5,D,1,NA,NA,NA,NA,4/17/22,NA,72,NA,NA,1,127,0,1.28592
346,20,0.1,D,1,NA,NA,NA,NA,4/29/22,NA,73,NA,NA,1,108,1,1.30378
491,25,0.1,D,1,NA,NA,NA,NA,4/23/22,NA,73,NA,NA,1,74,1,1.30378
251,15,0.5,D,1,NA,NA,NA,NA,5/4/22,NA,74,NA,NA,0,0,1,1.32164
363,20,0.1,D,1,NA,NA,NA,NA,4/24/22,NA,74,NA,NA,1,77,1,1.32164
367,20,0.1,D,1,NA,NA,NA,NA,4/16/22,NA,74,NA,NA,NA,NA,NA,1.32164
404,20,0.5,D,1,NA,NA,NA,NA,4/23/22,NA,74,NA,NA,1,57,1,1.32164
471,25,0.1,D,0,NA,NA,NA,NA,4/14/22,NA,74,NA,NA,NA,NA,NA,1.32164
482,25,0.1,D,1,NA,NA,NA,NA,4/14/22,NA,74,NA,NA,NA,NA,NA,1.32164
550,25,0.5,D,1,NA,NA,NA,NA,4/19/22,NA,74,NA,NA,1,192,1,1.32164
121,14V,1,D,1,NA,NA,NA,NA,4/23/22,NA,75,NA,NA,1,69,1,1.3395
355,20,0.1,D,1,NA,NA,NA,NA,4/29/22,NA,75,NA,NA,1,76,1,1.3395
439,20,1,D,1,NA,NA,NA,NA,4/26/22,NA,75,NA,NA,1,98,1,1.3395
526,25,0.5,D,1,NA,NA,NA,NA,4/20/22,NA,75,NA,NA,1,269,0,1.3395
528,25,0.5,D,1,NA,NA,NA,NA,4/18/22,NA,75,NA,NA,1,242,0,1.3395
535,25,0.5,D,1,NA,NA,NA,NA,4/20/22,NA,75,NA,NA,1,136,1,1.3395
23,2V,1,D,1,NA,NA,NA,NA,4/22/22,NA,76,NA,NA,1,109,1,1.35736
337,20,0.1,D,0,NA,NA,1,NA,NA,4/23/22,76,NA,NA,0,NA,NA,1.35736
350,20,0.1,D,1,NA,NA,NA,NA,4/28/22,NA,76,NA,NA,1,83,1,1.35736
351,20,0.1,D,1,NA,NA,NA,NA,5/1/22,NA,76,NA,NA,1,126,1,1.35736
371,20,0.1,D,1,NA,NA,NA,NA,4/23/22,NA,76,NA,NA,1,29,1,1.35736
461,20,1,D,1,NA,NA,NA,NA,4/24/22,NA,76,NA,NA,1,84,1,1.35736
552,25,0.5,D,1,NA,NA,NA,NA,4/20/22,NA,76,NA,NA,1,135,1,1.35736
573,25,1,D,1,NA,NA,NA,NA,4/14/22,NA,76,NA,NA,NA,NA,NA,1.35736
365,20,0.1,D,1,NA,1,NA,NA,4/30/22,NA,77,NA,NA,1,101,1,1.37522
369,20,0.1,D,1,NA,NA,NA,NA,4/29/22,NA,77,NA,NA,1,134,1,1.37522
405,20,0.5,D,1,NA,NA,NA,NA,4/25/22,NA,77,NA,NA,1,106,1,1.37522
407,20,0.5,D,1,NA,NA,NA,NA,4/21/22,NA,77,NA,NA,0,0,1,1.37522
414,20,0.5,D,1,NA,NA,NA,NA,4/22/22,NA,77,NA,NA,1,88,1,1.37522
493,25,0.1,D,1,NA,NA,NA,NA,4/24/22,NA,77,NA,NA,1,88,1,1.37522
495,25,0.1,D,1,NA,NA,NA,NA,4/21/22,NA,77,NA,NA,1,101,0,1.37522
498,25,0.1,D,1,NA,NA,NA,NA,4/22/22,NA,77,NA,NA,1,83,1,1.37522
504,25,0.1,D,1,NA,NA,NA,NA,4/23/22,NA,77,NA,NA,1,73,1,1.37522
541,25,0.5,D,1,NA,NA,NA,NA,4/16/22,NA,77,NA,NA,NA,NA,NA,1.37522
165,15,0.1,D,0,NA,NA,NA,NA,5/23/22,NA,78,NA,NA,0,NA,NA,1.39308
298,15,1,D,1,NA,1,NA,NA,NA,5/18/22,78,NA,NA,0,NA,NA,1.39308
442,20,1,D,1,NA,NA,NA,NA,4/22/22,NA,78,NA,NA,1,97,1,1.39308
449,20,1,D,1,NA,NA,NA,NA,4/24/22,NA,78,NA,NA,1,68,1,1.39308
452,20,1,D,1,NA,NA,NA,NA,4/29/22,NA,78,NA,NA,1,156,1,1.39308
486,25,0.1,D,1,NA,NA,NA,NA,4/18/22,NA,78,NA,NA,1,111,0,1.39308
494,25,0.1,D,1,NA,NA,NA,NA,4/23/22,NA,78,NA,NA,1,99,1,1.39308
575,25,1,D,1,NA,NA,NA,NA,4/20/22,NA,78,NA,NA,1,130,1,1.39308
15,2V,1,D,1,NA,NA,NA,NA,4/23/22,NA,79,NA,NA,1,104,1,1.41094
131,14V,1,D,1,NA,NA,NA,NA,4/25/22,NA,79,NA,NA,1,80,1,1.41094
166,15,0.1,D,1,NA,NA,NA,NA,5/21/22,NA,79,NA,NA,1,104,1,1.41094
304,15,1,D,1,NA,NA,NA,NA,5/21/22,NA,79,NA,NA,1,118,1,1.41094
352,20,0.1,D,1,NA,NA,NA,NA,4/29/22,NA,79,NA,NA,1,99,1,1.41094
416,20,0.5,D,1,NA,NA,NA,NA,4/25/22,NA,79,NA,NA,1,90,1,1.41094
490,25,0.1,D,1,NA,NA,NA,NA,4/24/22,NA,79,NA,NA,1,95,1,1.41094
497,25,0.1,D,1,NA,NA,NA,NA,4/17/22,NA,79,NA,NA,1,80,0,1.41094
8,2V,1,D,1,NA,NA,NA,NA,4/20/22,NA,80,NA,NA,1,192,0,1.4288
122,14V,1,D,1,NA,NA,NA,NA,4/24/22,NA,80,NA,NA,1,77,1,1.4288
354,20,0.1,D,1,NA,NA,NA,NA,4/27/22,NA,80,NA,NA,1,97,1,1.4288
456,20,1,D,1,NA,NA,NA,NA,4/29/22,NA,80,NA,NA,1,139,1,1.4288
459,20,1,D,1,NA,NA,NA,NA,4/30/22,NA,80,NA,NA,1,205,1,1.4288
500,25,0.1,D,1,NA,NA,NA,NA,4/24/22,NA,80,NA,NA,1,89,1,1.4288
508,25,0.1,D,1,NA,NA,NA,NA,4/24/22,NA,80,NA,NA,1,91,1,1.4288
547,25,0.5,D,1,NA,NA,NA,NA,4/20/22,NA,80,NA,NA,1,141,1,1.4288
598,25,1,D,1,NA,NA,NA,NA,4/20/22,NA,80,NA,NA,1,182,1,1.4288
140,14V,1,D,0,NA,1,NA,NA,NA,5/23/22,81,NA,NA,0,NA,NA,1.44666
164,15,0.1,D,0,NA,NA,NA,NA,5/23/22,NA,81,NA,NA,0,NA,NA,1.44666
184,15,0.1,D,1,NA,1,NA,NA,NA,5/18/22,81,NA,NA,0,NA,NA,1.44666
286,15,1,D,1,NA,1,NA,NA,NA,5/18/22,81,NA,NA,0,NA,NA,1.44666
319,15,1,D,1,NA,1,NA,NA,NA,5/18/22,81,NA,NA,0,NA,NA,1.44666
347,20,0.1,D,1,NA,NA,NA,NA,4/30/22,NA,81,NA,NA,1,118,1,1.44666
353,20,0.1,D,1,NA,NA,NA,NA,4/29/22,NA,81,NA,NA,1,76,1,1.44666
418,20,0.5,D,1,NA,NA,NA,NA,4/29/22,NA,81,NA,NA,1,101,1,1.44666
505,25,0.1,D,1,NA,NA,NA,NA,4/24/22,NA,81,NA,NA,1,64,1,1.44666
538,25,0.5,D,1,NA,NA,NA,NA,4/17/22,NA,81,NA,NA,1,165,0,1.44666
3,2V,1,D,1,NA,NA,NA,NA,4/23/22,NA,82,NA,NA,1,99,1,1.46452
11,2V,1,D,1,NA,NA,NA,NA,4/22/22,NA,82,NA,NA,1,112,1,1.46452
12,2V,1,D,1,NA,NA,NA,NA,4/22/22,NA,82,NA,NA,1,87,1,1.46452
21,2V,1,D,1,NA,NA,NA,NA,4/22/22,NA,82,NA,NA,1,170,1,1.46452
22,2V,1,D,1,NA,NA,NA,NA,4/23/22,NA,82,NA,NA,1,88,1,1.46452
130,14V,1,D,1,NA,NA,NA,NA,4/22/22,NA,82,NA,NA,1,86,1,1.46452
133,14V,1,D,1,NA,NA,NA,NA,4/23/22,NA,82,NA,NA,1,79,1,1.46452
151,15,0.1,D,0,NA,1,NA,NA,NA,5/23/22,82,NA,NA,0,NA,NA,1.46452
180,15,0.1,D,1,NA,1,NA,NA,NA,5/18/22,82,NA,NA,0,NA,NA,1.46452
215,15,0.5,D,0,NA,NA,NA,NA,5/21/22,NA,82,NA,NA,0,NA,NA,1.46452
280,15,1,D,0,NA,1,NA,NA,NA,5/23/22,82,NA,NA,0,NA,NA,1.46452
307,15,1,D,1,NA,1,NA,NA,NA,5/18/22,82,NA,NA,0,NA,NA,1.46452
349,20,0.1,D,1,NA,NA,NA,NA,5/2/22,NA,82,NA,NA,1,142,1,1.46452
443,20,1,D,1,NA,NA,NA,NA,4/25/22,NA,82,NA,NA,1,100,1,1.46452
451,20,1,D,1,NA,NA,NA,NA,4/5/22,NA,82,NA,NA,1,92,1,1.46452
540,25,0.5,D,1,NA,NA,NA,NA,4/17/22,NA,82,NA,NA,1,213,0,1.46452
587,25,1,D,1,NA,NA,NA,NA,4/23/22,NA,82,NA,NA,1,89,1,1.46452
589,25,1,D,1,NA,NA,NA,NA,4/20/22,NA,82,NA,NA,1,153,1,1.46452
596,25,1,D,1,NA,NA,NA,NA,4/19/22,NA,82,NA,NA,1,NA,NA,1.46452
5,2V,1,D,1,NA,NA,NA,NA,4/6/22,NA,83,NA,NA,1,80,1,1.48238
28,2V,1,D,1,NA,NA,NA,NA,4/20/22,NA,83,NA,NA,1,218,0,1.48238
29,2V,1,D,1,NA,NA,NA,NA,4/23/22,NA,83,NA,NA,1,140,1,1.48238
61,6V,1,D,1,NA,NA,NA,NA,4/22/22,NA,83,NA,NA,1,122,1,1.48238
73,6V,1,D,1,NA,NA,NA,NA,4/25/22,NA,83,NA,NA,1,102,1,1.48238
117,14V,1,D,1,NA,NA,NA,NA,4/26/22,NA,83,NA,NA,1,67,1,1.48238
179,15,0.1,D,1,NA,1,NA,NA,NA,5/18/22,83,NA,NA,0,NA,NA,1.48238
193,15,0.1,D,1,NA,1,NA,NA,NA,5/18/22,83,NA,NA,0,NA,NA,1.48238
199,15,0.1,D,1,NA,1,NA,NA,NA,5/18/22,83,NA,NA,0,NA,NA,1.48238
312,15,1,D,1,NA,NA,NA,NA,5/7/22,NA,83,NA,NA,0,0,1,1.48238
318,15,1,D,1,NA,NA,NA,NA,5/19/22,NA,83,NA,NA,1,142,1,1.48238
356,20,0.1,D,1,NA,NA,NA,NA,4/30/22,NA,83,NA,NA,1,167,1,1.48238
447,20,1,D,1,NA,NA,NA,NA,4/24/22,NA,83,NA,NA,1,80,1,1.48238
457,20,1,D,1,NA,NA,NA,NA,4/24/22,NA,83,NA,NA,1,75,1,1.48238
574,25,1,D,1,NA,NA,NA,NA,4/17/22,NA,83,NA,NA,1,130,0,1.48238
588,25,1,D,1,NA,NA,NA,NA,4/22/22,NA,83,NA,NA,1,148,1,1.48238
590,25,1,D,1,NA,NA,NA,NA,4/22/22,NA,83,NA,NA,1,164,1,1.48238
18,2V,1,D,1,NA,NA,NA,NA,4/23/22,NA,84,NA,NA,1,88,1,1.50024
152,15,0.1,D,0,NA,1,NA,NA,NA,5/23/22,84,NA,NA,0,NA,NA,1.50024
156,15,0.1,D,0,NA,1,NA,NA,NA,5/23/22,84,NA,NA,0,NA,NA,1.50024
161,15,0.1,D,0,NA,1,NA,NA,NA,5/23/22,84,NA,NA,0,NA,NA,1.50024
176,15,0.1,D,1,NA,1,NA,NA,NA,5/18/22,84,NA,NA,0,NA,NA,1.50024
190,15,0.1,D,1,NA,1,NA,NA,NA,5/18/22,84,NA,NA,0,NA,NA,1.50024
196,15,0.1,D,1,NA,1,NA,NA,NA,5/18/22,84,NA,NA,0,NA,NA,1.50024
306,15,1,D,1,NA,1,NA,NA,NA,5/18/22,84,NA,NA,0,NA,NA,1.50024
315,15,1,D,1,NA,NA,NA,NA,5/17/22,NA,84,NA,NA,1,99,1,1.50024
320,15,1,D,1,NA,NA,NA,NA,5/18/22,NA,84,NA,NA,1,114,1,1.50024
328,15,1,D,1,NA,NA,NA,NA,5/12/22,NA,84,NA,NA,1,116,1,1.50024
385,20,0.5,D,0,NA,NA,NA,NA,4/24/22,NA,84,NA,NA,0,NA,NA,1.50024
394,20,0.5,D,1,NA,NA,NA,NA,4/30/22,NA,84,NA,NA,0,0,1,1.50024
455,20,1,D,1,NA,NA,NA,NA,4/24/22,NA,84,NA,NA,1,86,1,1.50024
531,25,0.5,D,1,NA,NA,NA,NA,4/22/22,NA,84,NA,NA,1,183,1,1.50024
536,25,0.5,D,1,NA,NA,NA,NA,4/19/22,NA,84,NA,NA,1,250,0,1.50024
543,25,0.5,D,1,NA,NA,NA,NA,4/18/22,NA,84,NA,NA,1,205,0,1.50024
582,25,1,D,1,NA,NA,NA,NA,4/17/22,NA,84,NA,NA,1,251,0,1.50024
1,2V,1,D,1,NA,NA,NA,NA,4/19/22,NA,85,NA,NA,1,159,0,1.5181
51,6V,1,D,1,NA,NA,NA,NA,4/22/22,NA,85,NA,NA,1,108,1,1.5181
63,6V,1,D,1,NA,NA,NA,NA,4/25/22,NA,85,NA,NA,1,115,1,1.5181
101,14V,1,D,1,NA,NA,NA,NA,5/1/22,NA,85,NA,NA,1,190,1,1.5181
108,14V,1,D,1,NA,NA,NA,NA,4/24/22,NA,85,NA,NA,1,49,1,1.5181
177,15,0.1,D,1,NA,1,NA,NA,NA,5/18/22,85,NA,NA,0,NA,NA,1.5181
210,15,0.1,D,1,NA,1,NA,NA,NA,5/18/22,85,NA,NA,0,NA,NA,1.5181
218,15,0.5,D,0,NA,1,NA,NA,NA,5/23/22,85,NA,NA,0,NA,NA,1.5181
245,15,0.5,D,1,NA,NA,NA,NA,5/7/22,NA,85,NA,NA,1,56,1,1.5181
257,15,0.5,D,1,NA,NA,NA,NA,5/21/22,NA,85,NA,NA,1,194,1,1.5181
272,15,1,D,0,NA,1,NA,NA,NA,5/23/22,85,NA,NA,0,NA,NA,1.5181
321,15,1,D,1,NA,NA,NA,NA,5/21/22,NA,85,NA,NA,1,156,1,1.5181
408,20,0.5,D,1,NA,NA,NA,NA,4/23/22,NA,85,NA,NA,1,45,1,1.5181
413,20,0.5,D,1,NA,NA,NA,NA,5/1/22,NA,85,NA,NA,1,183,1,1.5181
440,20,1,D,1,NA,NA,NA,NA,4/20/22,NA,85,NA,NA,1,187,0,1.5181
462,20,1,D,1,NA,NA,NA,NA,4/24/22,NA,85,NA,NA,1,72,1,1.5181
542,25,0.5,D,1,NA,NA,NA,NA,4/21/22,NA,85,NA,NA,1,289,0,1.5181
546,25,0.5,D,1,NA,NA,NA,NA,4/20/22,NA,85,NA,NA,1,104,1,1.5181
577,25,1,D,1,NA,NA,NA,NA,4/20/22,NA,85,NA,NA,1,146,1,1.5181
