date,plate,resource,temp,well_number,sample,read
3/6/2023,4,0.5,15,93,R,3799
3/6/2023,4,0.5,15,94,R,3548
3/6/2023,4,0.5,15,95,R,3442
3/6/2023,4,0.5,15,96,0,2735
3/6/2023,5,1,15,1,61,7035
3/6/2023,5,1,15,2,61,5413
3/6/2023,5,1,15,3,61,5328
3/6/2023,5,1,15,4,0,1167
3/6/2023,5,1,15,5,66,5665
3/6/2023,5,1,15,6,66,6325
3/6/2023,5,1,15,7,66,4991
3/6/2023,5,1,15,8,0,1097
3/6/2023,5,1,15,9,71,5101
3/6/2023,5,1,15,10,71,4972
3/6/2023,5,1,15,11,71,4806
3/6/2023,5,1,15,12,0,2633
3/6/2023,5,1,15,13,62,6969
3/6/2023,5,1,15,14,62,4974
3/6/2023,5,1,15,15,62,5271
3/6/2023,5,1,15,16,0,933
3/6/2023,5,1,15,17,67,5214
3/6/2023,5,1,15,18,67,5226
3/6/2023,5,1,15,19,67,5247
3/6/2023,5,1,15,20,0,1069
3/6/2023,5,1,15,21,72,4834
3/6/2023,5,1,15,22,72,4814
3/6/2023,5,1,15,23,72,4504
3/6/2023,5,1,15,24,0,2801
3/6/2023,5,1,15,25,63,5121
3/6/2023,5,1,15,26,63,5029
3/6/2023,5,1,15,27,63,4979
3/6/2023,5,1,15,28,0,991
3/6/2023,5,1,15,29,68,5099
3/6/2023,5,1,15,30,68,5389
3/6/2023,5,1,15,31,68,4652
3/6/2023,5,1,15,32,0,978
3/6/2023,5,1,15,33,73,4907
3/6/2023,5,1,15,34,73,4709
3/6/2023,5,1,15,35,73,5048
3/6/2023,5,1,15,36,0,2360
3/6/2023,5,1,15,37,64,5370
3/6/2023,5,1,15,38,64,6850
3/6/2023,5,1,15,39,64,5025
3/6/2023,5,1,15,40,0,1195
3/6/2023,5,1,15,41,69,5088
3/6/2023,5,1,15,42,69,5065
3/6/2023,5,1,15,43,69,4951
3/6/2023,5,1,15,44,0,2127
3/6/2023,5,1,15,45,74,4969
3/6/2023,5,1,15,46,74,4654
3/6/2023,5,1,15,47,74,5003
3/6/2023,5,1,15,48,0,2468
3/6/2023,5,1,15,49,65,6695
3/6/2023,5,1,15,50,65,5053
3/6/2023,5,1,15,51,65,5183
3/6/2023,5,1,15,52,0,1030
3/6/2023,5,1,15,53,70,5540
3/6/2023,5,1,15,54,70,5246
3/6/2023,5,1,15,55,70,5000
3/6/2023,5,1,15,56,0,957
3/6/2023,5,1,15,57,75,4721
3/6/2023,5,1,15,58,75,4657
3/6/2023,5,1,15,59,75,5015
3/6/2023,5,1,15,60,0,2103
3/6/2023,5,1,15,61,C1,5096
3/6/2023,5,1,15,62,C1,4671
3/6/2023,5,1,15,63,C1,5040
3/6/2023,5,1,15,64,0,2470
3/6/2023,5,1,15,65,C2,4469
3/6/2023,5,1,15,66,C2,4537
3/6/2023,5,1,15,67,C2,4584
3/6/2023,5,1,15,68,0,2493
3/6/2023,5,1,15,69,C3,4595
3/6/2023,5,1,15,70,C3,4495
3/6/2023,5,1,15,71,C3,4579
3/6/2023,5,1,15,72,0,2714
3/6/2023,5,1,15,73,C4,5102
3/6/2023,5,1,15,74,C4,5098
3/6/2023,5,1,15,75,C4,4838
3/6/2023,5,1,15,76,0,1989
3/6/2023,5,1,15,77,C5,4875
3/6/2023,5,1,15,78,C5,2377
3/6/2023,5,1,15,79,C5,4529
3/6/2023,5,1,15,80,0,1381
3/6/2023,5,1,15,81,C6,4706
3/6/2023,5,1,15,82,C6,4637
3/6/2023,5,1,15,83,C6,4734
3/6/2023,5,1,15,84,0,2730
3/6/2023,5,1,15,85,R,3761
